yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201138,16.95714285714286,8.9,23.9,16.5,0.0,12.142857142857142,3,Boston
201139,20.542857142857144,14.4,26.7,37.8,0.0,12.071428571428571,3,Boston
201140,15.471428571428572,7.8,21.7,38.8,0.0,15.728571428571428,3,Boston
201141,18.928571428571427,12.8,30.6,40.3,0.0,16.3,3,Boston
201142,15.342857142857142,11.7,20.6,41.6,0.0,22.37142857142857,2,Boston
201143,10.214285714285714,1.1,17.2,26.7,8.0,14.828571428571427,3,Boston
201144,7.671428571428572,1.1,17.2,24.400000000000002,25.0,17.885714285714286,2,Boston
201145,10.77142857142857,2.2,20.6,26.7,0.0,13.471428571428572,1,Boston
201146,10.9,2.2,20.0,23.1,0.0,18.257142857142856,2,Boston
201147,7.414285714285714,-0.6,18.9,37.9,0.0,19.400000000000002,2,Boston
201148,10.557142857142859,1.7,19.4,19.3,0.0,14.814285714285715,2,Boston
201149,8.028571428571428,1.1,17.2,65.5,0.0,15.799999999999999,3,Boston
201150,4.871428571428572,-2.2,12.2,1.8,0.0,16.5,2,Boston
201151,3.857142857142857,-7.8,14.4,27.4,0.0,17.385714285714286,3,Boston
201152,1.5999999999999999,-7.2,13.9,5.8999999999999995,0.0,19.966666666666665,3,Boston
201200,1.7,-2.8,6.7,0.0,0.0,6.5,0,Boston
201201,0.9285714285714285,-12.2,11.1,0.8999999999999999,0.0,16.942857142857143,3,Boston
201202,3.4,-3.9,15.6,25.2,2.0,18.185714285714287,3,Boston
201203,-2.5,-14.4,11.1,5.4,10.0,21.728571428571428,4,Boston
201204,1.842857142857143,-9.4,13.3,36.9,25.0,14.985714285714284,5,Boston
201205,3.4142857142857146,-3.9,15.0,0.0,0.0,17.714285714285715,0,Boston
201206,2.414285714285714,-5.6,10.0,0.0,0.0,16.25714285714286,0,Boston
201207,1.7714285714285711,-8.9,11.7,3.1,0.0,15.228571428571428,3,Boston
201208,4.257142857142857,-2.2,13.9,15.0,0.0,16.45714285714286,2,Boston
201209,2.142857142857143,-5.0,11.1,22.1,21.0,23.32857142857143,2,Boston
201210,5.271428571428571,-6.7,20.0,9.7,27.0,21.814285714285713,1,Boston
201211,7.142857142857143,-1.1,21.7,3.6,0.0,15.37142857142857,2,Boston
201212,14.985714285714286,4.4,28.3,0.0,0.0,13.328571428571427,0,Boston
201213,6.328571428571428,-2.8,15.0,2.1,0.0,17.757142857142856,3,Boston
201214,7.285714285714286,1.1,17.8,6.8999999999999995,0.0,17.142857142857142,3,Boston
201215,9.357142857142858,3.3,18.3,8.1,0.0,16.357142857142858,1,Boston
201216,16.857142857142858,8.3,30.6,0.0,0.0,17.32857142857143,0,Boston
201217,12.142857142857142,4.4,25.6,64.30000000000001,0.0,22.88571428571429,3,Boston
201218,9.214285714285714,2.8,15.6,16.5,0.0,16.52857142857143,3,Boston
201219,12.557142857142859,7.8,19.4,34.6,0.0,14.314285714285715,4,Boston
201220,16.742857142857144,9.4,26.7,16.5,0.0,13.314285714285715,3,Boston
201221,16.357142857142858,10.6,23.3,15.2,0.0,11.671428571428573,2,Boston
201222,19.75714285714286,14.4,30.0,4.3,0.0,14.157142857142857,1,Boston
201223,13.87142857142857,10.0,26.1,44.5,0.0,17.814285714285713,6,Boston
201224,18.7,13.9,26.1,18.1,0.0,15.27142857142857,2,Boston
201225,21.842857142857145,11.1,36.1,0.5,0.0,15.485714285714286,1,Boston
201226,21.642857142857142,16.1,31.7,56.6,0.0,16.657142857142855,4,Boston
201227,25.02857142857143,20.0,32.8,3.6,0.0,14.714285714285714,1,Boston
201228,24.714285714285715,18.3,32.2,0.0,0.0,14.714285714285714,0,Boston
201229,25.514285714285712,17.8,36.1,45.7,0.0,14.657142857142857,2,Boston
201230,22.485714285714288,16.1,32.8,15.0,0.0,14.342857142857143,3,Boston
201231,22.071428571428573,17.2,33.3,54.6,0.0,14.0,3,Boston
201232,24.614285714285717,18.9,31.1,31.7,0.0,14.971428571428572,2,Boston
201233,24.62857142857143,18.9,30.0,21.400000000000002,0.0,13.357142857142858,2,Boston
201234,21.814285714285713,16.1,30.6,1.0,0.0,11.214285714285714,1,Boston
201235,22.7,15.6,32.2,3.8,0.0,15.728571428571428,1,Boston
201236,20.97142857142857,15.0,27.8,38.9,0.0,12.085714285714285,3,Boston
201237,19.442857142857143,11.7,27.8,18.0,0.0,15.657142857142857,1,Boston
201238,17.1,10.6,23.9,20.8,0.0,16.2,3,Boston
201239,16.485714285714288,9.4,23.3,20.6,0.0,16.442857142857143,2,Boston
201240,15.542857142857143,10.0,24.4,9.4,0.0,11.985714285714286,5,Boston
201241,12.685714285714285,4.4,25.6,8.7,0.0,17.185714285714287,4,Boston
201242,12.414285714285715,1.7,23.3,8.3,0.0,16.557142857142857,4,Boston
201243,13.828571428571427,6.7,23.3,4.1,0.0,12.6,1,Boston
201244,11.942857142857141,7.2,17.2,42.6,0.0,21.614285714285717,5,Boston
201245,4.928571428571429,-0.6,11.7,13.7,12.0,23.085714285714285,2,Boston
201246,7.685714285714286,1.1,18.9,7.4,0.0,15.071428571428571,1,Boston
201247,5.271428571428571,0.6,10.0,0.0,0.0,12.028571428571428,0,Boston
201248,2.4857142857142853,-1.1,8.9,3.8,5.0,18.52857142857143,1,Boston
201249,5.3,-2.2,15.0,1.9000000000000001,0.0,13.571428571428571,3,Boston
201250,5.557142857142857,-1.7,15.6,24.799999999999997,0.0,12.757142857142856,3,Boston
201251,4.642857142857143,0.6,11.1,56.9,0.0,21.271428571428572,4,Boston
201252,1.1142857142857143,-5.0,8.3,48.5,0.0,22.485714285714288,3,Boston
201253,-0.1,-1.7,2.8,17.5,0.0,15.1,1,Boston
201300,-3.3333333333333335,-13.9,3.3,1.0,62.0,22.566666666666666,1,Boston
201301,2.8285714285714287,-2.8,8.3,3.0,38.0,15.228571428571428,1,Boston
201302,3.6142857142857143,-7.2,16.1,9.700000000000001,15.0,13.628571428571428,2,Boston
201303,-4.371428571428572,-15.6,12.2,0.6,8.0,24.342857142857145,2,Boston
201304,-0.15714285714285703,-10.6,15.6,14.3,13.0,21.7,5,Boston
201305,-2.9,-7.8,4.4,24.5,6.0,20.485714285714288,4,Boston
201306,0.14285714285714274,-9.4,8.3,30.5,264.0,17.942857142857143,2,Boston
201307,-1.0142857142857142,-8.9,7.2,17.099999999999998,152.0,23.814285714285713,4,Boston
201308,2.2,-2.2,6.7,61.7,92.0,15.771428571428572,4,Boston
201309,2.0571428571428574,-2.2,6.1,36.9,53.0,25.414285714285715,3,Boston
201310,3.371428571428571,-6.1,11.7,7.4,142.0,19.485714285714288,1,Boston
201311,0.18571428571428572,-6.1,4.4,37.8,51.0,19.38571428571429,3,Boston
201312,5.214285714285714,-1.1,13.3,1.6,20.0,18.442857142857143,2,Boston
201313,6.214285714285714,-0.5,16.7,3.8,0.0,21.814285714285713,2,Boston
